,Number_of_Bedrooms,Months_Since_Jan_2010,Relative_of_Listings_Consistent_Between_Years,Relative_Change_in_Number_of_Listings,Relative_Change_in_Median_Price,Relative_Change_in_Adjusted_Price,Relative_Change_in_Difference_Between_Listed_and_Adjusted_Price,Change_in_Fraction_of_Listings_with_Weekly_or_Monthly_Prices,Relative_Change_in_Fraction_of_Professional_Listings,Relative_Change_in_Average_Age_of_listings,Relative_Change_in_Mean_Description_Length,Relative_Change_in_Fraction_of_Hosts_that_are_Superhosts,minimum_nights,availability_30,availability_60,availability_90,availability_365,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,calculated_host_listings_count,number_of_reviews,reviews_per_month,y
0,0.0,74.0,-0.01401070774126656,0.06571696870496327,0.04025157232704403,0.014980158730158732,-0.009273531897966314,0.02552795259800239,-0.03706470055893456,0.048462070607292185,-0.006614779126503953,-0.018191221857735636,0.08575301506678568,0.03228550223334725,0.07637374539533603,0.11502062052151935,0.05713913937662363,-0.014316001146586411,-0.0074311862130008715,-0.0114380702259678,0.0052673631722827945,-0.00010653707480911753,-0.004601545225713691,-0.005139787554818291,-0.02151586825207301,-0.01848141732902997,0.029460251807654297,-0.017857142857142856
1,0.0,74.0,0.06379443309296462,0.1529110582847693,0.04025157232704403,0.08958333333333335,0.041880781084209784,-0.008343853012646507,0.006941558113177759,-0.11832091744110579,0.022574616651355184,0.0032947013390858954,-0.1309880504243299,-0.06763863836424899,-0.03706240881419243,0.013941313986505166,0.007618137734912239,0.017339371754451265,0.013654532121676534,0.015928193827000666,0.013739999400138444,0.01282565308816092,-0.0008586939185242018,0.014357701591606261,0.13172319828032078,-0.1887764810639259,-0.167094908770841,-0.007575757575757576
2,0.0,74.0,0.035192897642114085,-0.05497694412378103,-0.059748427672955975,0.03958333333333336,0.026958352160004695,0.1056939861678694,0.04971919190902929,0.13695056422218588,0.018316044003214876,0.027349379862641368,0.1962813565779505,-0.028077172859447996,-0.07756959244733475,-0.09762092682652901,-0.10472716367437065,0.005265202427163177,-0.003343245440813803,-0.00608912130744925,0.01230339632097995,0.0036931150861294493,-0.002532634132018201,0.007475460612238147,0.00733368426781103,0.3917455088814714,-0.002482480576437296,-0.021207177814029365
3,0.0,74.0,0.09975333720255364,0.46303282388598693,-0.059748427672955975,-0.04375000000000001,0.0383455157210813,-0.009802625340706306,-0.01215090597801774,-0.13173714882548643,-0.04427788529222954,0.028743396834923544,-0.1306219120344719,0.08704438443773421,0.11513763052206438,0.07690522304650665,0.06849801771106505,-0.0009555824315364645,-0.009055899876402335,-0.022671869994163884,-0.00538810135558961,0.004364397662417844,0.00530217952176113,-0.015252307932319941,0.06526349588875516,-0.32055626665713743,-0.24415874213067307,0.03571428571428571
4,0.0,74.0,-0.07230548632685813,-0.18173841794407838,-0.005694373618901918,-0.020998677248677267,0.0050121823877479765,0.018731627259809147,0.015860441308197276,-0.00046964506429655883,-0.01384034695491483,-0.02483267639181308,-0.20775658349218304,0.013418633305093852,0.0037422552867124592,-0.01434765484537498,-0.02937899321265737,0.01060671749765157,0.013013151291009443,0.019845887669993352,0.004338426215200201,-0.0030002057570823757,-0.0009194055101331136,0.011788102437827148,0.027065765950194134,-0.052341429977723175,0.23263628671410516,0.04
5,0.0,74.0,0.006003337202553638,0.2303939349970981,-0.038727406651934956,-0.07156065088757396,-0.04498781761225201,0.1850420074276553,0.08575399044382784,0.25153235923272493,-0.14014836034686964,0.05569725747522486,-0.12365776915494536,0.002883628422751694,-0.04434246040322265,-0.11124261081748948,-0.03317259485938867,-0.021944730008452266,-0.021023242422803665,-0.05058776557010037,0.0186126772645936,0.013484429067730378,0.001973093732997887,-0.060241321362055705,0.1532798862780268,0.1287744734497549,0.05747490910506983,-0.023270440251572325
6,0.0,74.0,0.11330755407002346,-0.007181366207721196,0.013646067739888065,0.11079545454545453,0.0383455157210813,0.011272530896099586,-0.04904655193186047,-0.16936465593117975,-0.015668701547713326,-0.003324913683637392,-0.07420519982704639,0.03534382582004769,0.06906499553326512,0.07816857927114002,0.021689852480170232,0.012319050864118586,0.020727649709025443,0.022822070125944588,-0.009297215920441805,0.000667049935308443,0.01818246231324609,0.007715999003933268,-0.11853577922923775,-0.06905993363680879,-0.048639811759832646,-0.0037359900373599006
7,0.0,74.0,-0.09971474790382934,0.05818648818858746,-0.11474842767295598,-0.14375,0.01999234111790671,0.03045143923657362,0.016021170683495248,0.2056099908088419,-0.16011608129372712,-0.05852688045580962,0.2815245550444483,0.05066824472616549,0.032056334090469374,-0.004147031432677306,0.05001360097101141,-0.012014808735848922,-0.020981876858438497,-0.038880939626084014,-0.003885830415295047,-0.0046886391673301685,0.003908603071193664,-0.03890814094207117,0.08892945645092361,0.18826009729187898,-0.09627434578830368,0.043043478260869565
8,0.0,74.0,-0.006728144278927872,-0.022009911156748052,-0.0009248982611912704,-0.0580357142857143,-0.017210039834474222,-0.08232503910605787,-0.012049903193399103,0.02271248408937479,0.004577539167331939,0.008012072290039671,-0.09029629347249335,-0.0020345857598712547,-0.009049104021926269,0.005092935642119212,0.024302624446757314,-0.010435459472408088,-0.014703880361454789,-0.0019701227600833404,-0.00781700364562694,-0.008058965170688723,-0.005897168512854452,-0.006099140984687387,-0.09258091958277895,0.007728412604758428,-0.03410553718860962,-0.006289308176100629
9,0.0,74.0,-0.0490561866069702,-0.00918939833623525,-0.019748427672955975,0.016249999999999987,0.0050121823877479765,-0.027174545860326527,-0.04630383268542386,0.01625565290617767,-0.08023396167805819,0.06802718944801397,0.024809470715482444,-0.12014582019880216,-0.11521364378172316,-0.14633725980793605,-0.01479386633429755,-0.0013737445538327833,0.007538210465651859,0.02785002320267805,-0.0036767023465878942,0.012980153401700664,0.0013589564488785655,-0.007787212052590207,-0.19061621761807704,-0.09133361991290351,0.011353428992513986,-0.0364963503649635
