,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,City,CountyName,Metro,NumBeds,RegionName,SizeRank,State
292,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,3050.0,3100.0,3057.5,3250.0,3295.0,3300.0,3295.0,3350.0,3350.0,3395.0,3400.0,3285.0,3325.0,3350.0,3450.0,3550.0,3480.0,3500.0,3500.0,3500.0,3475.0,3400.0,3400.0,3425.0,3400.0,3475.0,3500.0,3500.0,3517.5,3575.0,3500.0,3495.0,3480.0,3495.0,3475.0,3425.0,3400.0,3425.0,3490.0,3730.0,3825.0,3935.0,3850.0,3850.0,3812.5,3740.0,3882.5,3900.0,3925.0,3999.5,4000.0,3942.5,3850.0,3975.0,3975.0,3900.0,3850.0,3800.0,3850.0,3882.5,3850.0,3900.0,3900.0,3837.5,3850.0,3750.0,3850.0,3850.0,3775.0,3812.5,3787.5,3775.0,3800.0,3825.0,3802.5,3760.0,3665.0,3594.0,3637.5,3599.0,3690.0,3665.0,3750.0,3800.0,3870.0,3750.0,3825.0,3950.0,3923.0,3875.0,New York,New York,New York-Newark-Jersey City,1,Battery Park,293,NY
312,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2925.0,2970.0,2800.0,2800.0,2725.0,2685.0,2700.0,2767.5,2660.0,2600.0,2600.0,2550.0,2617.5,2750.0,2692.5,2685.0,2600.0,2750.0,2750.0,2692.5,2600.0,New York,New York,New York-Newark-Jersey City,1,Carnegie Hill,313,NY
326,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1699.0,1697.0,1695.0,1700.0,1699.0,1650.0,1650.0,1650.0,1650.0,1699.0,1695.0,1725.0,1675.0,1675.0,1700.0,1700.0,1700.0,1700.0,1750.0,1850.0,1850.0,1835.0,1750.0,1750.0,New York,Queens,New York-Newark-Jersey City,1,Jamaica Estates,327,NY
328,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2700.0,2450.0,2400.0,2500.0,2400.0,2500.0,2500.0,2500.0,2500.0,2700.0,2599.5,2675.0,2650.0,2700.0,2500.0,2500.0,2500.0,2500.0,2500.0,2595.0,2595.0,2595.0,2600.0,2500.0,2500.0,2500.0,2600.0,2600.0,2550.0,2600.0,2575.0,2600.0,2650.0,2675.0,2700.0,2700.0,2800.0,2700.0,2700.0,2650.0,2600.0,2700.0,2700.0,2550.0,2500.0,2625.0,2800.0,2700.0,2600.0,2500.0,2510.0,2600.0,2650.0,2700.0,2600.0,2625.0,2675.0,2600.0,2550.0,2550.0,2700.0,2600.0,2597.5,2500.0,2500.0,2500.0,2600.0,2547.5,2500.0,2500.0,New York,Kings,New York-Newark-Jersey City,1,Carroll Gardens,329,NY
330,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2600.0,2650.0,2730.0,2700.0,2650.0,2757.5,2700.0,2730.0,2800.0,2700.0,2600.0,2625.0,2775.0,2758.0,2773.0,2800.0,2800.0,2775.0,2750.0,2700.0,2700.0,2692.0,2695.0,2695.0,2695.0,2737.5,2850.0,2850.0,2780.0,2795.0,2795.0,2800.0,2825.0,2825.0,2828.0,2825.0,2865.0,2899.0,2900.0,2895.0,2925.0,2950.0,2940.0,2900.0,2875.0,2862.0,2875.0,2920.0,2926.5,2885.0,2900.0,2900.0,2875.0,2900.0,2875.0,2868.0,2895.0,2785.0,2773.5,2871.5,2904.5,2940.0,2932.0,2922.5,2930.0,2980.0,2961.0,2880.0,2850.0,2823.5,2838.0,2875.0,2897.5,2898.0,2950.0,2995.0,2982.5,3000.0,2995.0,New York,Queens,New York-Newark-Jersey City,1,Hunters Point,331,NY
348,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1272.5,1370.0,1475.0,1465.0,1375.0,1415.0,1400.0,1370.0,1400.0,1372.5,1425.0,1425.0,1425.0,1425.0,1425.0,1427.5,1425.0,1425.0,1425.0,Plainsboro,Middlesex,New York-Newark-Jersey City,1,Princeton Meadows,349,NJ
356,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2775.0,2700.0,2650.0,2600.0,2800.0,2500.0,2600.0,2600.0,2600.0,2600.0,2800.0,3000.0,2949.5,2900.0,3100.0,3000.0,3100.0,3200.0,3100.0,2975.0,2700.0,2500.0,2500.0,2695.0,2675.0,2650.0,2800.0,2838.0,2774.5,3000.0,2850.0,3000.0,2950.0,2950.0,2900.0,2900.0,3000.0,3200.0,3200.0,3000.0,2950.0,2700.0,2700.0,2800.0,2700.0,2650.0,2800.0,2725.0,2600.0,2700.0,2650.0,3000.0,2800.0,2700.0,2700.0,2988.0,2521.0,2350.0,2400.0,2700.0,2700.0,2600.0,2650.0,2600.0,2700.0,2800.0,2800.0,2700.0,2650.0,2500.0,2425.0,2427.5,2450.0,2600.0,2800.0,2700.0,2700.0,3000.0,2800.0,New York,Kings,New York-Newark-Jersey City,1,Boerum Hill,357,NY
370,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2350.0,2390.0,2390.0,2377.5,2500.0,2390.0,2570.0,2500.0,2417.5,2500.0,2500.0,2520.0,2645.0,2669.0,2644.5,2602.5,2620.0,2612.5,2510.5,2500.0,2555.0,2595.0,2485.0,2500.0,2510.0,2550.0,2512.5,2517.5,2550.0,2540.0,2550.0,2535.0,2532.5,2532.5,2550.0,2615.0,2685.0,2670.0,2578.0,2562.5,2640.0,2550.0,2525.0,2635.0,2705.0,2715.0,2670.0,2687.5,2760.0,2730.0,2755.0,2780.0,2727.5,2735.0,2700.0,2682.5,2675.0,2700.0,2735.0,2700.0,2705.0,2580.0,2770.0,2710.0,2725.0,2762.5,2553.0,2735.0,2755.0,2785.0,2822.5,2782.5,2817.5,2979.0,2955.0,2930.0,2864.0,2937.5,2937.0,2850.0,2955.0,2894.5,2890.0,2887.0,2940.0,2940.0,2914.5,2895.0,Jersey City,Hudson,New York-Newark-Jersey City,1,The Waterfront,371,NJ
381,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2461.5,2600.0,2667.5,2600.0,2600.0,2695.0,2650.0,2695.0,2665.0,2782.5,2730.0,2725.0,2844.0,2900.0,2929.0,2896.5,2900.0,3025.0,3115.0,3130.0,3022.5,2950.0,2941.0,3000.0,3000.0,3000.0,3025.0,3039.5,2995.0,2940.0,2950.0,2950.0,2900.0,2866.5,2900.0,3000.0,3050.0,2915.0,3075.0,3050.0,3050.0,3055.0,3097.5,3100.0,3130.0,3245.0,3190.0,3095.0,3095.0,3177.5,3140.0,3200.0,3150.0,3085.0,3138.0,3025.0,3060.0,3095.0,3060.0,3115.0,3100.0,3055.0,3120.0,3050.0,3039.0,3045.0,3120.0,3075.0,3125.0,3156.0,3170.0,3195.0,3198.0,3230.0,3260.0,3233.0,3240.0,3165.0,3150.0,3135.0,3095.0,3155.5,3239.0,3330.0,3374.0,3360.0,3405.0,3336.0,New York,Kings,New York-Newark-Jersey City,1,Downtown,382,NY
396,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2372.5,2350.0,2350.0,2400.0,2400.0,2500.0,2495.0,2500.0,2500.0,2600.0,2750.0,2900.0,2900.0,2795.0,2700.0,2700.0,2785.0,2850.0,2795.0,2700.0,2695.0,2750.0,2750.0,2700.0,2700.0,2700.0,2725.0,2700.0,2675.0,2695.0,2695.0,2750.0,2793.0,2795.0,2800.0,2695.0,2700.0,2700.0,2700.0,2750.0,2700.0,2800.0,2950.0,2895.0,2895.0,3000.0,3000.0,3000.0,3050.0,3000.0,3000.0,2895.0,2995.0,3000.0,3195.0,3000.0,3095.0,3200.0,3047.5,3047.5,3195.0,3000.0,3195.0,3147.5,3000.0,2972.5,2950.0,2900.0,2950.0,2950.0,2900.0,2800.0,2950.0,2995.0,3000.0,3200.0,3050.0,3000.0,2995.0,2995.0,2995.0,2995.0,2900.0,2850.0,2972.5,3000.0,3000.0,3200.0,3000.0,3000.0,3000.0,3025.0,3000.0,New York,New York,New York-Newark-Jersey City,1,SoHo,397,NY
